Phot mode 3  -  (2465 , 1696)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 33907.0  -  Magnitude = -11.326 
Background mean level = 358.9
 
Phot mode 3  -  (2761 , 1731)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 31368.0  -  Magnitude = -11.241 
Background mean level = 352.9
 
Phot mode 3  -  (2842 , 1688)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 50223.6  -  Magnitude = -11.752 
Background mean level = 353.9
 
Phot mode 3  -  (3036 , 1620)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 105714.4  -  Magnitude = -12.560 
Background mean level = 363.2
 
Phot mode 3  -  (2491 , 1986)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 162845.5  -  Magnitude = -13.029 
Background mean level = 362.8
 
Phot mode 3  -  (2685 , 2159)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 71997.8  -  Magnitude = -12.143 
Background mean level = 354.8
 
Phot mode 3  -  (2596 , 1445)
Pixel number in the inner circle = 197
Pixel number for background evaluation = 1352
Intensity = 15526.0  -  Magnitude = -10.478 
Background mean level = 351.0
 
